"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"LE10","1206-RGB","5.7821mm","33.0636mm","5.5824mm","32.3875mm","6.3105mm","34.8522mm","T","253.54","LED RGB V"
"LE11","1206-RGB","7.7318mm","25.5815mm","7.5967mm","24.8896mm","7.8344mm","26.1066mm","T","258.95","LED RGB V"
"LE12","1206-RGB","10.0313mm","18.7391mm","10.2623mm","18.0731mm","9.4201mm","20.5011mm","T","289.13","LED RGB V"
"LE13","1206-RGB","12.1119mm","13.2141mm","12.5715mm","12.6796mm","11.7631mm","13.6198mm","T","310.69","LED RGB V"
"LE14","1206-RGB","25.5002mm","9.376mm","26.1195mm","9.039mm","23.8621mm","10.2674mm","T","331.45","LED RGB V"
"LE15","1206-RGB","36.8965mm","10.4315mm","37.6015mm","10.4315mm","35.0315mm","10.4315mm","T","360.00","LED RGB V"
"LE16","1206-RGB","53.1474mm","10.4625mm","53.8524mm","10.4625mm","51.2824mm","10.4625mm","T","360.00","LED RGB V"
"LE17","1206-RGB","66.9153mm","10.4625mm","67.6203mm","10.4625mm","66.3803mm","10.4625mm","T","360.00","LED RGB V"
"LE18","1206-RGB","81.8292mm","10.1589mm","82.4629mm","9.8498mm","81.3484mm","10.3934mm","T","334.00","LED RGB V"
"CON4","12PIN-0.5MM","88.6574mm","18.7375mm","87.2574mm","18.9875mm","87.2574mm","21.4875mm","T","270.00",""
"RQ1","0603R","12.6199mm","24.2875mm","12.6324mm","24.2875mm","11.8074mm","24.2875mm","T","360.00","0R"
"RQ2","0603R","12.6199mm","20.2625mm","12.6324mm","20.2625mm","11.8074mm","20.2625mm","T","360.00","0R"
"RQ3","0603R","15.0574mm","15.475mm","15.0574mm","15.4875mm","15.0574mm","14.6625mm","T","90.00","0R"
"RQ4","0603R","30.2574mm","11.65mm","30.2574mm","11.6625mm","30.2574mm","10.8375mm","T","90.00","0R"
"RQ5","0603R","37.6074mm","13.775mm","37.6074mm","13.7875mm","37.6074mm","12.9625mm","T","90.00","0R"
"RQ6","0603R","57.7824mm","12.3mm","57.7824mm","12.3125mm","57.7824mm","11.4875mm","T","90.00","0R"
"RQ7","0603R","83.9324mm","14.6mm","83.9324mm","14.6375mm","83.9324mm","13.7125mm","T","90.00","0R"
"RQ8","0603R","87.1949mm","9.9625mm","87.2324mm","9.9625mm","86.3074mm","9.9625mm","T","360.00","0R"
"RQ9","0603R","87.2074mm","8.5125mm","87.2324mm","8.5125mm","86.3324mm","8.5125mm","T","360.00","0R"
"RQ10","0603R","87.2449mm","7.0625mm","87.2324mm","7.0625mm","86.4074mm","7.0625mm","T","360.00","0R"

