"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"LED2","LED_RGB","46.4156mm","113.4051mm","46.4156mm","113.4051mm","49.0656mm","114.2051mm","B","180.00","F1"
"JL4","USB5PAA","284.842mm","138.5352mm","287.092mm","139.7352mm","286.092mm","139.7352mm","T","270.00","USB5PAAA"
"LED85","LED_RGB","222.1655mm","33.4044mm","222.1655mm","33.4044mm","219.5155mm","34.2045mm","B","180.00","/?"
"NOA1","9PIN-1.5MM","355.4919mm","104.9852mm","355.4919mm","103.1352mm","361.492mm","103.1352mm","B","180.00",""
"D2","BAV70A-SOT-23","9.092mm","54.6602mm","9.092mm","54.6602mm","8.076mm","54.6602mm","B","270.00",""
"D3","BAV70A-SOT-23","3.98mm","13.4755mm","3.98mm","13.4755mm","2.964mm","13.4755mm","B","270.00",""
"D4","BAV70A-SOT-23","29.726mm","70.4852mm","29.726mm","70.4852mm","28.7099mm","70.4852mm","B","270.00",""
"D5","BAV70A-SOT-23","35.458mm","51.5352mm","35.458mm","51.5352mm","34.442mm","51.5352mm","B","270.00",""
"D6","BAV70A-SOT-23","27.686mm","13.462mm","27.686mm","13.462mm","26.67mm","13.462mm","B","270.00",""
"D7","BAV70A-SOT-23","38.518mm","89.4882mm","38.518mm","89.4882mm","37.502mm","89.4882mm","B","270.00",""
"D8","BAV70A-SOT-23","54.0728mm","51.5329mm","54.0728mm","51.5329mm","53.0568mm","51.5329mm","B","270.00",""
"D9","BAV70A-SOT-23","50.3845mm","13.4983mm","50.3845mm","13.4983mm","49.3685mm","13.4983mm","B","270.00",""
"D10","BAV70A-SOT-23","57.5406mm","89.5388mm","57.5406mm","89.5388mm","56.5246mm","89.5388mm","B","270.00",""
"D11","BAV70A-SOT-23","72.467mm","54.7102mm","72.467mm","54.7102mm","71.451mm","54.7102mm","B","270.00",""
"D12","BAV70A-SOT-23","62.2783mm","32.4865mm","62.2783mm","32.4865mm","61.2623mm","32.4865mm","B","270.00",""
"D13","BAV70A-SOT-23","76.6127mm","89.5057mm","76.6127mm","89.5057mm","75.5967mm","89.5057mm","B","270.00",""
"D14","BAV70A-SOT-23","90.757mm","51.5578mm","90.757mm","51.5578mm","89.741mm","51.5578mm","B","270.00",""
"D15","BAV70A-SOT-23","82.8132mm","32.496mm","82.8132mm","32.496mm","81.7973mm","32.496mm","B","270.00",""
"D16","BAV70A-SOT-23","97.283mm","89.5102mm","97.283mm","89.5102mm","96.267mm","89.5102mm","B","270.00",""
"D17","BAV70A-SOT-23","111.242mm","51.4852mm","111.242mm","51.4852mm","110.226mm","51.4852mm","B","270.00",""
