"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"LASTONE","TESTPOINTC","35.521mm","7.011mm","35.521mm","7.011mm","35.521mm","7.011mm","T","0.00","TESTPOINTC"
"MUTE","TESTPOINTC","81.2685mm","7.0812mm","81.2685mm","7.0812mm","81.2685mm","7.0812mm","T","0.00","TESTPOINTC"
"NEXTONE","TESTPOINTC","57.6854mm","7.045mm","57.6854mm","7.045mm","57.6854mm","7.045mm","T","0.00","TESTPOINTC"
"ON/OFF_LED","TESTPOINTC","15.0397mm","6.9796mm","15.0397mm","6.9796mm","15.0397mm","6.9796mm","T","0.00","TESTPOINTC"
"JL3","USB5PAAA","69.6445mm","10.7245mm","70.9104mm","5.92mm","69.9104mm","5.92mm","B","90.00","USB5PAAA"
"U5","DSK_1060","46.146mm","7.681mm","48.721mm","3.236mm","43.571mm","3.236mm","B","360.00","DSK1060SL-D"
"R10","0603R","51.6759mm","10.3534mm","51.671mm","10.336mm","51.6759mm","11.1154mm","B","270.00","NC/0R"
"R4","0603R","26.2786mm","8.3659mm","26.296mm","8.361mm","25.5166mm","8.3659mm","B","360.00","1K"
"R3","0603R","26.2536mm","6.8659mm","26.271mm","6.861mm","25.4916mm","6.8659mm","B","360.00","1K"
"R2","0603R","26.2536mm","5.3659mm","26.271mm","5.361mm","25.4916mm","5.3659mm","B","360.00","1K"
"R1","0603R","26.2536mm","3.8908mm","26.271mm","3.886mm","25.4916mm","3.8908mm","B","360.00","1K"
"C3","0603C","51.7737mm","2.0236mm","51.771mm","2.036mm","52.5356mm","2.0236mm","B","180.00","100nF"
"C2","0603C","51.7737mm","3.5236mm","51.771mm","3.536mm","52.5356mm","3.5236mm","B","180.00","10uF"
"C1","0603C","40.9335mm","11.5886mm","40.9211mm","11.586mm","40.9335mm","12.3506mm","B","270.00","4.7-22nF"

